时间,开盘,最高,最低,收盘
2025-08-16 09:30:00,100,100.12,99.18,99.19
2025-08-16 09:31:00,99.19,101.56,98.94,101.08
2025-08-16 09:32:00,101.08,101.11,100.25,100.57
2025-08-16 09:33:00,100.57,101.38,100.32,101.28
2025-08-16 09:34:00,101.28,101.63,100.29,100.5
2025-08-16 09:35:00,100.5,100.75,98.07,98.62
2025-08-16 09:36:00,98.62,100.82,98.59,100.29
2025-08-16 09:37:00,100.29,100.38,99.67,99.82
2025-08-16 09:38:00,99.82,100.02,98.3,98.89
2025-08-16 09:39:00,98.89,99.27,96.81,97.11
2025-08-16 09:40:00,97.11,97.21,96.4,96.61
2025-08-16 09:41:00,96.61,99.47,96.41,98.09
2025-08-16 09:42:00,98.09,98.26,96.76,97.34
2025-08-16 09:43:00,97.34,97.93,97.25,97.81
2025-08-16 09:44:00,97.81,97.84,96.63,96.82
2025-08-16 09:45:00,96.82,98.24,96.74,97.59
2025-08-16 09:46:00,97.59,98.06,95.57,96.3
2025-08-16 09:47:00,96.3,98.55,96.22,97.89
2025-08-16 09:48:00,97.89,97.91,97.56,97.65
2025-08-16 09:49:00,97.65,99.15,97.51,98.59
2025-08-16 09:50:00,98.59,100.74,98.46,100.33
2025-08-16 09:51:00,100.33,100.36,99.96,100.02
2025-08-16 09:52:00,100.02,100.31,99.95,100.31
2025-08-16 09:53:00,100.31,100.99,97.71,98.51
2025-08-16 09:54:00,98.51,99.85,98.2,99.48
2025-08-16 09:55:00,99.48,99.69,98.48,98.59
2025-08-16 09:56:00,98.59,98.78,96.77,97.17
2025-08-16 09:57:00,97.17,97.21,94.46,95.65
2025-08-16 09:58:00,95.65,96.21,95.55,96.0
2025-08-16 09:59:00,96.0,96.16,95.99,96.15
2025-08-16 10:00:00,96.15,96.43,92.89,94.33
2025-08-16 10:01:00,94.33,95.38,94.15,95.0
2025-08-16 10:02:00,95.0,95.13,93.25,94.05
2025-08-16 10:03:00,94.05,95.08,93.84,94.69
2025-08-16 10:04:00,94.69,97.17,94.14,96.14
2025-08-16 10:05:00,96.14,96.35,95.14,95.26
2025-08-16 10:06:00,95.26,95.81,93.49,93.58
2025-08-16 10:07:00,93.58,93.74,93.0,93.09
2025-08-16 10:08:00,93.09,93.12,91.76,91.81
2025-08-16 10:09:00,91.81,94.58,91.38,93.63
2025-08-16 10:10:00,93.63,95.85,93.07,95.27
2025-08-16 10:11:00,95.27,95.28,94.41,94.76
2025-08-16 10:12:00,94.76,94.8,94.26,94.34
2025-08-16 10:13:00,94.34,94.35,94.2,94.23
2025-08-16 10:14:00,94.23,95.58,94.06,95.1
2025-08-16 10:15:00,95.1,96.23,94.74,95.9
2025-08-16 10:16:00,95.9,96.55,93.35,94.27
2025-08-16 10:17:00,94.27,94.63,93.06,93.32
2025-08-16 10:18:00,93.32,95.26,93.07,94.76
2025-08-16 10:19:00,94.76,94.84,94.21,94.41
2025-08-16 10:20:00,94.41,95.09,94.41,94.98
2025-08-16 10:21:00,94.98,96.58,94.4,96.43
2025-08-16 10:22:00,96.43,96.48,95.1,95.42
2025-08-16 10:23:00,95.42,95.45,95.02,95.05
2025-08-16 10:24:00,95.05,95.25,95.02,95.22
2025-08-16 10:25:00,95.22,95.26,94.14,94.49
2025-08-16 10:26:00,94.49,97.09,93.99,96.29
2025-08-16 10:27:00,96.29,96.71,94.11,94.44
2025-08-16 10:28:00,94.44,95.0,91.82,92.9
2025-08-16 10:29:00,92.9,93.06,90.52,91.26
2025-08-16 10:30:00,91.26,91.43,90.09,90.35
2025-08-16 10:31:00,90.35,92.21,89.91,91.6
2025-08-16 10:32:00,91.6,92.74,91.57,92.7
2025-08-16 10:33:00,92.7,92.7,92.68,92.69
2025-08-16 10:34:00,92.69,94.22,92.2,94.15
2025-08-16 10:35:00,94.15,96.63,93.82,95.95
2025-08-16 10:36:00,95.95,97.0,95.89,96.92
2025-08-16 10:37:00,96.92,97.27,95.57,96.15
2025-08-16 10:38:00,96.15,96.93,96.02,96.57
2025-08-16 10:39:00,96.57,97.51,96.34,97.49
